Municipality,Median_Income_2000,Median_Income_2000_to_2009,Location
"Mount Prospect",57165,66645,"Mount Prospect, Illinois"
Worth,42723,53464,"Worth, Illinois
(41.69001999972335, -87.79548000000187)"
"Bedford Park",49722,58523,"Bedford Park, Illinois
(41.77032999982981, -87.81852000039754)"
"Barrington Hills",145330,165901,"Barrington Hills, Illinois
(42.11429999984529, -88.1825100000363)"
"Hazel Crest",50576,52547,"Hazel Crest, Illinois
(41.57924000012605, -87.68850000027464)"
Posen,49470,54429,"Posen, Illinois
(41.62630000024501, -87.68068999984348)"
Palatine,63321,73049,"Palatine, Illinois
(42.11306000021898, -88.03764000038558)"
"South Holland",60246,61968,"South Holland, Illinois
(41.599910000046634, -87.61000999956167)"
Maywood,41942,49684,"Maywood, Illinois
(41.88711000002667, -87.8391700002951)"
Hometown,39512,45018,"Hometown, Illinois
(41.72859000042837, -87.73037000027512)"
"Arlington Heights",67807,78765,"Arlington Heights, Illinois
(42.138009999661904, -87.99594999969258)"
"River Forest",89284,109904,"River Forest, Illinois
(41.88752999960997, -87.81957000025517)"
Berkeley,58984,55872,"Berkeley, Illinois
(41.882160000184, -87.91396999991542)"
"South Barrington",170755,205035,"South Barrington, Illinois
(42.073860000139064, -88.14109000010325)"
Schaumburg,60941,68594,"Schaumburg, Illinois
(42.025300000095115, -88.06771000031608)"
Riverdale,38321,40659,"Riverdale, Illinois
(41.6335399995715, -87.62629999984495)"
Lansing,47554,53178,"Lansing, Illinois
(41.564219999953195, -87.5441700003451)"
Dixmoor,26677,36842,"Dixmoor, Illinois
(41.62626000019901, -87.65661999961316)"
"Des Plaines",53638,60574,"Des Plaines, Illinois
(42.04200000039987, -87.88845000026714)"
Glenview,80730,105059,"Glenview, Illinois
(42.07745000021748, -87.79857000040505)"
Stickney,42772,54286,"Stickney, Illinois
(41.821399999610435, -87.78694999964262)"
"Park Forest",47579,48069,"Park Forest, Illinois
(41.48173999960147, -87.68103999979598)"
